millis, stampunix, datetime, K30_CO2, CH4smV, Vbat, SHT_RH, SHT_temp, AQUA_Flux1 
371262, 1776767701, 2026/04/21 10:35:01, 494, 747.1, 2402.3, 15.3, 21.9, 1
381430, 1776767712, 2026/04/21 10:35:12, 494, 737.3, 2402.3, 15.2, 21.9, 1
391529, 1776767722, 2026/04/21 10:35:22, 493, 732.4, 2407.2, 15.1, 21.9, 1
401603, 1776767732, 2026/04/21 10:35:32, 493, 727.5, 2402.3, 15.1, 21.9, 1
411676, 1776767742, 2026/04/21 10:35:42, 492, 722.7, 2407.2, 15.0, 22.0, 1
421749, 1776767752, 2026/04/21 10:35:52, 492, 717.8, 2402.3, 15.1, 21.9, 1
431822, 1776767762, 2026/04/21 10:36:02, 492, 712.9, 2402.3, 15.0, 22.0, 1
441898, 1776767772, 2026/04/21 10:36:12, 492, 708.0, 2397.5, 15.1, 22.0, 1
451971, 1776767782, 2026/04/21 10:36:22, 492, 703.1, 2397.5, 15.0, 21.9, 1
462044, 1776767792, 2026/04/21 10:36:32, 492, 703.1, 2407.2, 15.0, 21.9, 1
472117, 1776767802, 2026/04/21 10:36:42, 492, 698.2, 2397.5, 15.0, 22.1, 1
482190, 1776767813, 2026/04/21 10:36:53, 492, 693.4, 2397.5, 15.0, 22.0, 1
492263, 1776767823, 2026/04/21 10:37:03, 492, 688.5, 2402.3, 15.0, 22.1, 1
502341, 1776767833, 2026/04/21 10:37:13, 492, 683.6, 2402.3, 15.0, 22.1, 1
512414, 1776767843, 2026/04/21 10:37:23, 492, 683.6, 2402.3, 15.0, 22.1, 1
Chamber is OPEN
542490, 1776767873, 2026/04/21 10:37:53, 491, 673.8, 2470.7, 14.8, 22.1, 1
552561, 1776767883, 2026/04/21 10:38:03, 491, 668.9, 2426.8, 14.8, 22.1, 1
562634, 1776767893, 2026/04/21 10:38:13, 491, 664.1, 2407.2, 14.9, 22.1, 1
572707, 1776767903, 2026/04/21 10:38:23, 491, 664.1, 2407.2, 14.9, 22.1, 1
582780, 1776767913, 2026/04/21 10:38:33, 491, 659.2, 2402.3, 14.7, 22.2, 1
592856, 1776767924, 2026/04/21 10:38:44, 491, 654.3, 2397.5, 14.8, 22.2, 1
602929, 1776767934, 2026/04/21 10:38:54, 491, 654.3, 2397.5, 14.7, 22.2, 1
613002, 1776767944, 2026/04/21 10:39:04, 491, 654.3, 2397.5, 14.8, 22.2, 1
623075, 1776767954, 2026/04/21 10:39:14, 491, 649.4, 2402.3, 14.8, 22.2, 1
633148, 1776767964, 2026/04/21 10:39:24, 491, 649.4, 2402.3, 14.9, 22.1, 1
643221, 1776767974, 2026/04/21 10:39:34, 490, 649.4, 2397.5, 14.8, 22.2, 1
653294, 1776767984, 2026/04/21 10:39:44, 490, 644.5, 2397.5, 14.8, 22.2, 1
Chamber is CLOSED
683374, 1776768014, 2026/04/21 10:40:14, 489, 639.6, 2465.8, 14.8, 22.2, 1
693445, 1776768024, 2026/04/21 10:40:24, 490, 639.6, 2421.9, 14.8, 22.2, 1
703518, 1776768034, 2026/04/21 10:40:34, 490, 634.8, 2412.1, 14.7, 22.3, 1
713591, 1776768045, 2026/04/21 10:40:45, 490, 634.8, 2402.3, 14.8, 22.3, 1
723666, 1776768055, 2026/04/21 10:40:55, <<<I2C_RECOVERY>>>
735024, 1776768066, 2026/04/21 10:41:06, 490, 629.9, 2456.1, 14.9, 22.3, 1
745099, 1776768076, 2026/04/21 10:41:16, 490, 629.9, 2417.0, 14.8, 22.2, 1
755172, 1776768086, 2026/04/21 10:41:26, 489, 629.9, 2407.2, 14.8, 22.3, 1
765245, 1776768096, 2026/04/21 10:41:36, 489, 629.9, 2397.5, 14.9, 22.4, 1
775318, 1776768106, 2026/04/21 10:41:46, 489, 625.0, 2402.3, 14.8, 22.3, 1
785391, 1776768116, 2026/04/21 10:41:56, 489, 625.0, 2397.5, 14.9, 22.3, 1
795464, 1776768127, 2026/04/21 10:42:07, 489, 625.0, 2402.3, 14.9, 22.4, 1
805537, 1776768137, 2026/04/21 10:42:17, 488, 620.1, 2402.3, 14.8, 22.4, 1
815613, 1776768147, 2026/04/21 10:42:27, 489, 625.0, 2397.5, 14.8, 22.4, 1
825686, 1776768157, 2026/04/21 10:42:37, 489, 620.1, 2392.6, 14.9, 22.4, 1
835759, 1776768167, 2026/04/21 10:42:47, 489, 625.0, 2402.3, 14.7, 22.3, 1
845832, 1776768177, 2026/04/21 10:42:57, 489, 629.9, 2407.2, 14.9, 22.3, 1
856014, 1776768187, 2026/04/21 10:43:07, 489, 620.1, 2402.3, 15.1, 22.4, 1
866087, 1776768197, 2026/04/21 10:43:17, 489, 620.1, 2402.3, 15.2, 22.3, 1
876160, 1776768207, 2026/04/21 10:43:27, 489, 620.1, 2397.5, 15.4, 22.4, 1
886236, 1776768218, 2026/04/21 10:43:38, 489, 620.1, 2402.3, 15.4, 22.4, 1
896311, 1776768228, 2026/04/21 10:43:48, 489, 620.1, 2397.5, 15.5, 22.5, 1
906384, 1776768238, 2026/04/21 10:43:58, 489, 620.1, 2402.3, 15.5, 22.6, 1
916457, 1776768248, 2026/04/21 10:44:08, 489, 620.1, 2397.5, 15.2, 22.5, 1
926530, 1776768258, 2026/04/21 10:44:18, 489, 615.2, 2397.5, 15.2, 22.5, 1
936603, 1776768268, 2026/04/21 10:44:28, 488, 620.1, 2397.5, 15.0, 22.6, 1
946676, 1776768278, 2026/04/21 10:44:38, 488, 615.2, 2402.3, 14.9, 22.5, 1
956752, 1776768288, 2026/04/21 10:44:48, 488, 620.1, 2402.3, 14.9, 22.7, 1
966825, 1776768298, 2026/04/21 10:44:58, 488, 615.2, 2402.3, 14.7, 22.6, 1
976898, 1776768308, 2026/04/21 10:45:08, 489, 615.2, 2402.3, 14.8, 22.7, 1
986971, 1776768319, 2026/04/21 10:45:19, 488, 620.1, 2397.5, 14.6, 22.7, 1
997044, 1776768329, 2026/04/21 10:45:29, 487, 615.2, 2397.5, 14.5, 22.6, 1
1007117, 1776768339, 2026/04/21 10:45:39, 487, 615.2, 2397.5, 14.7, 22.7, 1
1017192, 1776768349, 2026/04/21 10:45:49, 486, 615.2, 2397.5, 14.6, 22.6, 1
1027265, 1776768359, 2026/04/21 10:45:59, 486, 615.2, 2402.3, 14.4, 22.5, 1
1037338, 1776768369, 2026/04/21 10:46:09, 486, 610.4, 2402.3, 14.5, 22.6, 1
1047411, 1776768379, 2026/04/21 10:46:19, 486, 610.4, 2397.5, 14.4, 22.6, 1
1057484, 1776768389, 2026/04/21 10:46:29, 486, 615.2, 2392.6, 14.4, 22.4, 1
1067557, 1776768399, 2026/04/21 10:46:39, 486, 610.4, 2397.5, 14.5, 22.5, 1
1077632, 1776768409, 2026/04/21 10:46:49, 486, 610.4, 2392.6, 14.6, 22.4, 1
1087708, 1776768420, 2026/04/21 10:47:00, 486, 610.4, 2392.6, 14.6, 22.5, 1
1097781, 1776768430, 2026/04/21 10:47:10, 486, 610.4, 2397.5, 14.6, 22.5, 1
1107854, 1776768440, 2026/04/21 10:47:20, 486, 610.4, 2402.3, 14.5, 22.5, 1
1117927, 1776768450, 2026/04/21 10:47:30, 486, 610.4, 2392.6, 14.5, 22.6, 1
1128000, 1776768460, 2026/04/21 10:47:40, 486, 610.4, 2397.5, 14.5, 22.6, 1
1138073, 1776768470, 2026/04/21 10:47:50, 486, 610.4, 2397.5, 14.3, 22.6, 1
1148146, 1776768480, 2026/04/21 10:48:00, 486, 620.1, 2402.3, 14.5, 22.6, 1
1158312, 1776768490, 2026/04/21 10:48:10, 486, 605.5, 2402.3, 14.5, 22.6, 1
Chamber is OPEN
1188413, 1776768520, 2026/04/21 10:48:40, 486, 610.4, 2460.9, 14.5, 22.7, 1
1198484, 1776768531, 2026/04/21 10:48:51, 486, 610.4, 2417.0, 14.5, 22.5, 1
1208557, 1776768541, 2026/04/21 10:49:01, 486, 610.4, 2407.2, 14.4, 22.7, 1
1218630, 1776768551, 2026/04/21 10:49:11, 486, 610.4, 2407.2, 14.5, 22.6, 1
1228703, 1776768561, 2026/04/21 10:49:21, 486, 610.4, 2407.2, 14.4, 22.7, 1
1238779, 1776768571, 2026/04/21 10:49:31, 486, 610.4, 2402.3, 14.4, 22.6, 1
1248852, 1776768581, 2026/04/21 10:49:41, 486, 610.4, 2397.5, 14.3, 22.7, 1
1258925, 1776768591, 2026/04/21 10:49:51, 486, 610.4, 2402.3, 14.5, 22.8, 1
1269000, 1776768601, 2026/04/21 10:50:01, 486, 610.4, 2402.3, 14.6, 22.7, 1
1279073, 1776768611, 2026/04/21 10:50:11, 486, 610.4, 2402.3, 14.5, 22.7, 1
1289146, 1776768621, 2026/04/21 10:50:21, 486, 610.4, 2397.5, 14.5, 22.7, 1
1299219, 1776768632, 2026/04/21 10:50:32, 486, 610.4, 2397.5, 14.5, 22.7, 1
Chamber is CLOSED
1329299, 1776768662, 2026/04/21 10:51:02, 486, 610.4, 2470.7, 14.4, 22.7, 1
1339370, 1776768672, 2026/04/21 10:51:12, 486, 610.4, 2421.9, 14.4, 22.7, 1
1349443, 1776768682, 2026/04/21 10:51:22, 486, 610.4, 2407.2, 14.4, 22.8, 1
1359516, 1776768692, 2026/04/21 10:51:32, 486, 610.4, 2407.2, 14.3, 22.7, 1
1369589, 1776768702, 2026/04/21 10:51:42, 486, 610.4, 2402.3, 14.4, 22.7, 1
1379662, 1776768712, 2026/04/21 10:51:52, 486, 610.4, 2402.3, 14.4, 22.8, 1
1389737, 1776768722, 2026/04/21 10:52:02, 486, 610.4, 2407.2, 14.5, 22.7, 1
1399810, 1776768732, 2026/04/21 10:52:12, 486, 610.4, 2402.3, 14.5, 22.7, 1
1409883, 1776768742, 2026/04/21 10:52:22, 486, 610.4, 2402.3, 14.5, 22.7, 1
1419956, 1776768753, 2026/04/21 10:52:33, 486, 610.4, 2402.3, 14.4, 22.7, 1
1430029, 1776768763, 2026/04/21 10:52:43, 486, 610.4, 2402.3, 14.5, 22.7, 1
1440102, 1776768773, 2026/04/21 10:52:53, 486, 610.4, 2402.3, 14.4, 22.7, 1
1450175, 1776768783, 2026/04/21 10:53:03, 487, 610.4, 2397.5, 14.4, 22.7, 1
1460253, 1776768793, 2026/04/21 10:53:13, 486, 610.4, 2402.3, 14.4, 22.7, 1
1470326, 1776768803, 2026/04/21 10:53:23, 487, 610.4, 2407.2, 14.5, 22.7, 1
1480399, 1776768813, 2026/04/21 10:53:33, 486, 610.4, 2402.3, 14.4, 22.8, 1
1490472, 1776768823, 2026/04/21 10:53:43, 487, 610.4, 2402.3, 14.4, 22.7, 1
1500545, 1776768833, 2026/04/21 10:53:53, 487, 620.1, 2412.1, 14.5, 22.7, 1
1510708, 1776768844, 2026/04/21 10:54:04, 487, 610.4, 2402.3, 14.4, 22.8, 1
1520957, 1776768854, 2026/04/21 10:54:14, 487, 610.4, 2402.3, 14.3, 22.7, 1
1531030, 1776768864, 2026/04/21 10:54:24, 487, 610.4, 2402.3, 14.5, 22.8, 1
1541103, 1776768874, 2026/04/21 10:54:34, 487, 610.4, 2402.3, 14.4, 22.7, 1
1551176, 1776768884, 2026/04/21 10:54:44, 487, 610.4, 2407.2, 14.5, 22.8, 1
1561249, 1776768894, 2026/04/21 10:54:54, 488, 610.4, 2407.2, 14.6, 22.8, 1
1571322, 1776768904, 2026/04/21 10:55:04, 487, 610.4, 2402.3, 14.5, 22.7, 1
1581395, 1776768914, 2026/04/21 10:55:14, 488, 610.4, 2402.3, 14.4, 22.7, 1
1591471, 1776768924, 2026/04/21 10:55:24, 487, 610.4, 2407.2, 14.6, 22.7, 1
1601544, 1776768935, 2026/04/21 10:55:35, 486, 610.4, 2397.5, 14.6, 22.8, 1
1611617, 1776768945, 2026/04/21 10:55:45, 486, 610.4, 2402.3, 14.7, 22.8, 1
1621690, 1776768955, 2026/04/21 10:55:55, 486, 610.4, 2402.3, 14.7, 22.8, 1
1631763, 1776768965, 2026/04/21 10:56:05, 485, 615.2, 2402.3, 14.8, 22.8, 1
1641838, 1776768975, 2026/04/21 10:56:15, 485, 610.4, 2407.2, 14.8, 22.9, 1
1651911, 1776768985, 2026/04/21 10:56:25, 486, 610.4, 2397.5, 14.8, 22.7, 1
1661987, 1776768995, 2026/04/21 10:56:35, 486, 615.2, 2397.5, 15.1, 22.8, 1
1672060, 1776769005, 2026/04/21 10:56:45, 486, 615.2, 2397.5, 15.0, 22.8, 1
1682133, 1776769015, 2026/04/21 10:56:55, 486, 615.2, 2397.5, 15.0, 22.7, 1
1692206, 1776769025, 2026/04/21 10:57:05, 486, 615.2, 2402.3, 15.0, 22.8, 1
1702279, 1776769036, 2026/04/21 10:57:16, 486, 615.2, 2402.3, 14.8, 22.9, 1
1712352, 1776769046, 2026/04/21 10:57:26, 486, 620.1, 2407.2, 14.6, 22.9, 1
1722427, 1776769056, 2026/04/21 10:57:36, 486, 620.1, 2407.2, 14.6, 23.0, 1
1732500, 1776769066, 2026/04/21 10:57:46, 486, 615.2, 2402.3, 14.4, 22.8, 1
1742573, 1776769076, 2026/04/21 10:57:56, 486, 615.2, 2402.3, 14.5, 22.8, 1
1752646, 1776769086, 2026/04/21 10:58:06, 486, 615.2, 2397.5, 14.5, 22.7, 1
1762719, 1776769096, 2026/04/21 10:58:16, 486, 615.2, 2397.5, 14.4, 22.8, 1
1772792, 1776769106, 2026/04/21 10:58:26, 487, 620.1, 2397.5, 14.3, 22.8, 1
1782865, 1036876383, 2000/27/00 21:13:03, 486, 625.0, 2402.3, 14.3, 22.8, 1
1793053, 1776769127, 2026/04/21 10:58:47, 486, 615.2, 2397.5, 14.4, 22.8, 1
1803126, 1776769137, 2026/04/21 10:58:57, 486, 615.2, 2402.3, 14.5, 22.7, 1
Chamber is OPEN
1833204, 1776769167, 2026/04/21 10:59:27, 486, 615.2, 2470.7, 14.7, 22.6, 1
1843275, 1776769177, 2026/04/21 10:59:37, 485, 615.2, 2426.8, 14.4, 22.6, 1
1853352, 1776769187, 2026/04/21 10:59:47, 485, 615.2, 2412.1, 14.4, 22.7, 1
1863425, 1776769197, 2026/04/21 10:59:57, 485, 615.2, 2407.2, 14.5, 22.8, 1
1873500, 1776769207, 2026/04/21 11:00:07, 485, 615.2, 2407.2, 14.5, 22.9, 1
1883573, 1776769217, 2026/04/21 11:00:17, 485, 615.2, 2402.3, 14.5, 22.8, 1
1893646, 1776769227, 2026/04/21 11:00:27, 485, 615.2, 2402.3, 14.4, 22.8, 1
1903719, 1776769237, 2026/04/21 11:00:37, 485, 615.2, 2407.2, 14.4, 22.8, 1
1913792, 1776769248, 2026/04/21 11:00:48, 485, 615.2, 2402.3, 14.4, 22.9, 1
1923865, 1776769258, 2026/04/21 11:00:58, 485, 615.2, 2402.3, 14.3, 22.9, 1
1933938, 1776769268, 2026/04/21 11:01:08, 484, 615.2, 2397.5, 14.5, 22.9, 1
1944013, 1776769278, 2026/04/21 11:01:18, 485, 615.2, 2402.3, 14.3, 22.9, 1
Chamber is CLOSED
1974090, 1776769308, 2026/04/21 11:01:48, 484, 615.2, 2470.7, 14.4, 22.9, 1
1984161, 1776769318, 2026/04/21 11:01:58, 485, 615.2, 2421.9, 14.3, 22.9, 1
1994234, 1776769328, 2026/04/21 11:02:08, 485, 615.2, 2412.1, 14.3, 23.0, 1
2004307, 1776769338, 2026/04/21 11:02:18, 485, 629.9, 2402.3, 14.5, 22.9, 1
2014380, 1776769348, 2026/04/21 11:02:28, 485, 615.2, 2402.3, 14.4, 22.9, 1
2024458, 1776769358, 2026/04/21 11:02:38, 485, 615.2, 2402.3, 14.2, 22.9, 1
2034531, 1776769369, 2026/04/21 11:02:49, 484, 615.2, 2402.3, 14.4, 22.9, 1
2044604, 1776769379, 2026/04/21 11:02:59, 484, 615.2, 2407.2, 14.2, 23.0, 1
2054677, 1776769389, 2026/04/21 11:03:09, 484, 615.2, 2407.2, 14.2, 22.9, 1
2064750, 1776769399, 2026/04/21 11:03:19, 484, 615.2, 2402.3, 14.2, 22.9, 1
2074823, 1776769409, 2026/04/21 11:03:29, 484, 620.1, 2402.3, 14.4, 22.8, 1
2084896, 1776769419, 2026/04/21 11:03:39, 484, 620.1, 2402.3, 14.2, 22.9, 1
2094972, 1776769429, 2026/04/21 11:03:49, 484, 615.2, 2407.2, 14.3, 22.9, 1
2105045, 1776769439, 2026/04/21 11:03:59, 484, 615.2, 2402.3, 14.2, 22.9, 1
2115118, 1776769449, 2026/04/21 11:04:09, 483, 615.2, 2402.3, 14.4, 22.8, 1
2125191, 1776769459, 2026/04/21 11:04:19, 483, 620.1, 2412.1, 14.4, 22.9, 1
2135361, 1776769470, 2026/04/21 11:04:30, 483, 615.2, 2407.2, 14.4, 22.8, 1
2145452, 1776769480, 2026/04/21 11:04:40, 483, 620.1, 2407.2, 14.3, 23.0, 1
2155526, 1776769490, 2026/04/21 11:04:50, 483, 620.1, 2402.3, 14.3, 22.9, 1
2165602, 1776769500, 2026/04/21 11:05:00, 483, 615.2, 2402.3, 14.3, 22.9, 1
2175675, 1776769510, 2026/04/21 11:05:10, 483, 620.1, 2402.3, 14.5, 22.9, 1
2185748, 1776769520, 2026/04/21 11:05:20, 484, 615.2, 2407.2, 14.3, 22.9, 1
2195821, 1776769530, 2026/04/21 11:05:30, 483, 620.1, 2402.3, 14.3, 22.9, 1
2205896, 1776769540, 2026/04/21 11:05:40, 483, 620.1, 2402.3, 14.2, 22.9, 1
2215969, 1776769550, 2026/04/21 11:05:50, 483, 620.1, 2407.2, 14.2, 22.9, 1
2226044, 1776769561, 2026/04/21 11:06:01, 483, 620.1, 2402.3, 14.4, 22.9, 1
2236117, 1776769571, 2026/04/21 11:06:11, 483, 615.2, 2412.1, 14.4, 22.9, 1
2246190, 1776769581, 2026/04/21 11:06:21, 483, 620.1, 2407.2, 14.3, 22.9, 1
2256263, 1776769591, 2026/04/21 11:06:31, 483, 620.1, 2402.3, 14.3, 22.9, 1
2266336, 1776769601, 2026/04/21 11:06:41, 483, 620.1, 2402.3, 14.4, 22.9, 1
2276409, 1776769611, 2026/04/21 11:06:51, 483, 620.1, 2402.3, 14.4, 22.9, 1
2286482, 1776769621, 2026/04/21 11:07:01, 483, 620.1, 2402.3, 14.6, 22.9, 1
2296557, 1776769631, 2026/04/21 11:07:11, 483, 620.1, 2402.3, 14.4, 23.0, 1
2306630, 1776769641, 2026/04/21 11:07:21, 483, 620.1, 2407.2, 14.4, 23.0, 1
2316703, 1776769651, 2026/04/21 11:07:31, 483, 620.1, 2402.3, 14.5, 22.9, 1
2326776, 1776769662, 2026/04/21 11:07:42, 483, 620.1, 2402.3, 14.4, 23.0, 1
2336849, 1776769672, 2026/04/21 11:07:52, 483, 620.1, 2402.3, 14.4, 22.9, 1
2346922, 1776769682, 2026/04/21 11:08:02, 483, 620.1, 2402.3, 14.6, 22.9, 1
2356995, 1776769692, 2026/04/21 11:08:12, 483, 620.1, 2407.2, 14.5, 22.9, 1
2367071, 1776769702, 2026/04/21 11:08:22, 483, 620.1, 2402.3, 14.6, 23.0, 1
2377146, 1776769712, 2026/04/21 11:08:32, 483, 620.1, 2402.3, 14.7, 22.9, 1
2387219, 1776769722, 2026/04/21 11:08:42, 483, 620.1, 2402.3, 14.7, 22.9, 1
2397292, 1776769732, 2026/04/21 11:08:52, 483, 625.0, 2397.5, 14.6, 23.0, 1
2407365, 1776769742, 2026/04/21 11:09:02, 483, 620.1, 2402.3, 14.8, 22.9, 1
2417438, 1776769752, 2026/04/21 11:09:12, 483, 620.1, 2402.3, 14.9, 22.9, 1
2427513, 1776769762, 2026/04/21 11:09:22, 483, 620.1, 2402.3, 14.9, 22.9, 1
2437681, 1776769773, 2026/04/21 11:09:33, 483, 629.9, 2402.3, 14.6, 23.0, 1
2447760, 1776769783, 2026/04/21 11:09:43, 483, 625.0, 2397.5, 14.6, 23.0, 1
Chamber is OPEN
2477837, 1776769813, 2026/04/21 11:10:13, 484, 620.1, 2460.9, 14.2, 23.0, 1
2487908, 1776769823, 2026/04/21 11:10:23, 484, 620.1, 2417.0, 14.3, 23.0, 1
2497981, 1776769833, 2026/04/21 11:10:33, 484, 620.1, 2412.1, 14.1, 23.0, 1
2508054, 1776769843, 2026/04/21 11:10:43, 484, 625.0, 2402.3, 14.3, 23.1, 1
2518130, 1776769853, 2026/04/21 11:10:53, 484, 625.0, 2402.3, 14.1, 23.0, 1
2528203, 1776769863, 2026/04/21 11:11:03, 484, 625.0, 2402.3, 14.3, 22.9, 1
2538276, 1776769873, 2026/04/21 11:11:13, 485, 625.0, 2407.2, 14.1, 23.0, 1
2548349, 1776769884, 2026/04/21 11:11:24, 484, 620.1, 2402.3, 14.1, 22.9, 1
2558422, 1776769894, 2026/04/21 11:11:34, 484, 625.0, 2402.3, 14.2, 22.9, 1
2568495, 1776769904, 2026/04/21 11:11:44, 485, 620.1, 2412.1, 14.1, 22.9, 1
2578573, 1776769914, 2026/04/21 11:11:54, 485, 620.1, 2402.3, 14.2, 22.9, 1
2588646, 1776769924, 2026/04/21 11:12:04, 485, 625.0, 2407.2, 14.2, 23.0, 1
Chamber is CLOSED
2618723, 1776769954, 2026/04/21 11:12:34, 485, 625.0, 2465.8, 14.2, 22.9, 1
2628794, 1776769964, 2026/04/21 11:12:44, 485, 625.0, 2421.9, 14.3, 23.0, 1
2638867, 1776769974, 2026/04/21 11:12:54, 484, 625.0, 2407.2, 14.0, 23.0, 1
2648940, 1776769984, 2026/04/21 11:13:04, 484, 625.0, 2407.2, 14.2, 23.0, 1
2659013, 1776769995, 2026/04/21 11:13:15, 484, 625.0, 2402.3, 14.2, 23.1, 1
2669089, 1776770005, 2026/04/21 11:13:25, 484, 620.1, 2402.3, 14.2, 23.0, 1
2679162, 1776770015, 2026/04/21 11:13:35, 484, 620.1, 2402.3, 14.2, 23.1, 1
2689235, 1776770025, 2026/04/21 11:13:45, 484, 625.0, 2402.3, 14.2, 23.0, 1
2699308, 1776770035, 2026/04/21 11:13:55, 484, 625.0, 2407.2, 14.2, 23.0, 1
2709381, 1776770045, 2026/04/21 11:14:05, 484, 620.1, 2407.2, 14.1, 23.0, 1
2719454, 1776770055, 2026/04/21 11:14:15, 484, 620.1, 2402.3, 14.2, 23.0, 1
2729529, 1776770065, 2026/04/21 11:14:25, 484, 620.1, 2407.2, 14.0, 23.0, 1
2739602, 1776770075, 2026/04/21 11:14:35, 484, 620.1, 2402.3, 14.2, 23.0, 1
2749675, 1776770085, 2026/04/21 11:14:45, 484, 620.1, 2402.3, 14.1, 23.1, 1
2759748, 1776770095, 2026/04/21 11:14:55, 484, 625.0, 2407.2, 14.1, 23.1, 1
2769824, 1776770106, 2026/04/21 11:15:06, 484, 620.1, 2402.3, 14.1, 23.0, 1
2779897, 1776770116, 2026/04/21 11:15:16, 484, 625.0, 2402.3, 13.9, 23.0, 1
2790065, 1776770126, 2026/04/21 11:15:26, 484, 620.1, 2402.3, 14.0, 23.1, 1
2800160, 1776770136, 2026/04/21 11:15:36, 484, 625.0, 2407.2, 13.8, 23.0, 1
2810234, 1776770146, 2026/04/21 11:15:46, 484, 620.1, 2402.3, 14.0, 23.1, 1
2820307, 1776770156, 2026/04/21 11:15:56, 484, 620.1, 2402.3, 14.0, 23.1, 1
2830380, 1776770166, 2026/04/21 11:16:06, 484, 620.1, 2407.2, 14.1, 23.0, 1
2840453, 1776770176, 2026/04/21 11:16:16, 484, 620.1, 2407.2, 14.0, 23.1, 1
2850526, 1776770186, 2026/04/21 11:16:26, 484, 625.0, 2397.5, 14.0, 23.0, 1
2860599, 1776770197, 2026/04/21 11:16:37, 485, 625.0, 2397.5, 14.0, 23.0, 1
2870675, 1776770207, 2026/04/21 11:16:47, 484, 620.1, 2407.2, 14.0, 23.0, 1
2880748, 1776770217, 2026/04/21 11:16:57, 484, 620.1, 2407.2, 13.9, 23.0, 1
2890821, 1776770227, 2026/04/21 11:17:07, 484, 620.1, 2402.3, 14.0, 23.0, 1
2900894, 1776770237, 2026/04/21 11:17:17, 484, 625.0, 1635.7, 13.9, 23.0, 1
2910967, 1776770247, 2026/04/21 11:17:27, 484, 620.1, 1821.3, 13.9, 23.0, 1
2921040, 1776770257, 2026/04/21 11:17:37, 484, 625.0, 2226.6, 14.1, 23.1, 1
2931115, 1776770267, 2026/04/21 11:17:47, 485, 620.1, 2348.6, 14.0, 23.1, 1
